index,title,description,group,sequence
cycle_kib_gw,Cycle Of Gateway Error (mins),Chu kỳ xảy ra lỗi của một thiết bị Gateway (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra lỗi liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,12
cycle_kib_pe,Cycle Of PE Error (mins),Chu kỳ xảy ra lỗi của một thiết bị PE (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra lỗi liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,8
cycle_kib_smc,Cycle Of SMC Error (mins),Chu kỳ xảy ra lỗi của một thiết bị SMC (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra lỗi liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,6
cycle_kib_inf_host,Cycle Of OLT Error (mins),Chu kỳ xảy ra lỗi của một thiết bị OLT (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra lỗi liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,2
cycle_ops_bras,Cycle Of BRAS Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị BRAS (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,8
cycle_ops_cgnat,Cycle Of CGNAT Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị CGNAT (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,14
cycle_ops_gw,Cycle Of Gateway Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị Gateway (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,16
cycle_ops_pe,Cycle Of PE Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị PE (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,12
cycle_ops_smc,Cycle Of SMC Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị SMC (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,10
cycle_ops_switch,Cycle Of Switch Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị Switch (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,4
cycle_ops_host,Cycle Of OLT Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị OLT (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,2
ops_pe,Alert Per PE Device,Số cảnh báo Critical phát sinh của một thiết bị PE (tính trung bình)_Tính tổng số cảnh báo CRITICAL của mỗi thiết bị trong 1 tuần_Tính trung bình số cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,11
cycle_inf_host,Cycle Of OLT Error (mins),Chu kỳ xảy ra lỗi của một thiết bị OLT (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra lỗi liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra lỗi theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,17
cycle_ops_power,Cycle Of Power Alert (mins),Chu kỳ xảy ra cảnh báo Critical của một thiết bị Power (tính trung bình theo phút)_Tính khoảng cách thời gian giữa 2 lần xảy ra cảnh báo liên tiếp của từng thiết bị trong 1 tuần_Tính thời gian trung bình xảy ra cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,6
ops_power,Alert Per Power Device,Số cảnh báo Critical phát sinh của một thiết bị Power (tính trung bình)_Tính tổng số cảnh báo CRITICAL của mỗi thiết bị trong 1 tuần_Tính trung bình số cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,5
